Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,^FTSE,^GSPC,^N225,^NSEI,^FTSE,^GSPC,^N225,^NSEI,^FTSE,^GSPC,^N225,^NSEI,^FTSE,^GSPC,^N225,^NSEI,^FTSE,^GSPC,^N225,^NSEI
Date,,,,,,,,,,,,,,,,,,,,
2020-03-11,5876.5,2741.3798828125,19416.060546875,10458.400390625,6088.5,2825.60009765625,19974.830078125,10545.099609375,5860.7998046875,2707.219970703125,19392.25,10334.0,5960.2001953125,2825.60009765625,19758.259765625,10334.2998046875,1507518600.0,7431200000.0,129200000.0,1218500.0
2020-03-12,5237.5,2480.639892578125,18559.630859375,9590.150390625,5876.5,2660.949951171875,19142.1796875,10040.75,5237.5,2478.860107421875,18339.26953125,9508.0,5876.5,2630.860107421875,19064.509765625,10039.9501953125,2209275500.0,8850810000.0,164600000.0,1343500.0
2020-03-13,5366.10009765625,2711.02001953125,17431.05078125,9955.2001953125,5696.5,2711.330078125,18184.4609375,10159.400390625,5237.5,2492.3701171875,16690.599609375,8555.150390625,5237.5,2569.989990234375,18183.470703125,9107.599609375,1935105000.0,8299070000.0,233400000.0,1388000.0
2020-03-16,5151.10009765625,2386.1298828125,17002.0390625,9197.400390625,5366.10009765625,2562.97998046875,17785.759765625,9602.2001953125,4898.7998046875,2380.93994140625,16914.44921875,9165.099609375,5366.10009765625,2508.590087890625,17586.080078125,9587.7998046875,2111567500.0,7805450000.0,158100000.0,897700.0
2020-03-17,5294.89990234375,2529.18994140625,17011.529296875,8967.0498046875,5309.0,2553.929931640625,17557.0390625,9403.7998046875,4978.7998046875,2367.0400390625,16378.9404296875,8915.599609375,5151.10009765625,2425.659912109375,16726.94921875,9285.400390625,1941164900.0,8370250000.0,198800000.0,935600.0
2020-03-18,5080.60009765625,2398.10009765625,16726.55078125,8468.7998046875,5294.89990234375,2453.570068359375,17396.83984375,9127.5498046875,5006.2001953125,2280.52001953125,16698.4609375,8407.0498046875,5294.89990234375,2436.5,17154.080078125,9088.4501953125,1837075100.0,8799300000.0,177200000.0,1516600.0
2020-03-19,5151.60009765625,2409.389892578125,16552.830078125,8263.4501953125,5181.0,2466.969970703125,17160.970703125,8575.4501953125,4942.39990234375,2319.780029296875,16358.1904296875,7832.5498046875,5080.60009765625,2393.47998046875,16995.76953125,8063.2998046875,1963412200.0,7956100000.0,198900000.0,925700.0
2020-03-20,5190.7998046875,2304.919921875,,8745.4501953125,5419.2998046875,2453.010009765625,,8883.0,5151.60009765625,2295.56005859375,,8178.2001953125,5151.60009765625,2431.93994140625,,8284.4501953125,2585565700.0,9053950000.0,,1071500.0
2020-03-23,4993.89990234375,2237.39990234375,16887.779296875,7610.25,5194.7998046875,2300.72998046875,17049.029296875,8159.25,4922.7998046875,2191.860107421875,16480.94921875,7583.60009765625,5190.7998046875,2290.7099609375,16570.5703125,7945.7001953125,1629604900.0,7411380000.0,170300000.0,653500.0
2020-03-24,5446.0,2447.330078125,18092.349609375,7801.0498046875,5446.0,2449.7099609375,18100.390625,8036.9501953125,4993.89990234375,2344.43994140625,17197.140625,7511.10009765625,4993.89990234375,2344.43994140625,17206.880859375,7848.2998046875,1582421000.0,7563150000.0,147300000.0,738400.0
2020-03-25,5688.2001953125,2475.56005859375,19546.630859375,8317.849609375,5741.39990234375,2571.419921875,19564.380859375,8376.75,5400.5,2407.530029296875,18446.80078125,7714.75,5446.0,2457.77001953125,18446.80078125,7735.14990234375,1860995600.0,8300010000.0,147700000.0,736900.0
